,person_age,person_gender,person_education,person_income,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
0,22.0,1,0,71948.0,0,35000.0,0,16.02,0.49,561,0,1
1,21.0,1,1,12282.0,1,1000.0,1,11.14,0.08,504,1,0
2,25.0,1,1,12438.0,2,5500.0,2,12.87,0.44,635,0,1
3,23.0,1,2,79753.0,0,35000.0,2,15.23,0.44,675,0,1
4,24.0,0,0,66135.0,0,35000.0,2,14.27,0.53,586,0,1
5,21.0,1,1,12951.0,1,2500.0,3,7.14,0.19,532,0,1
6,26.0,1,2,93471.0,0,35000.0,1,12.42,0.37,701,0,1
7,24.0,1,1,95550.0,0,35000.0,2,11.11,0.37,585,0,1
8,24.0,1,3,100684.0,0,35000.0,0,8.9,0.35,544,0,1
9,21.0,1,1,12739.0,1,1600.0,3,14.74,0.13,640,0,1
10,22.0,1,1,102985.0,0,35000.0,3,10.37,0.34,621,0,1
11,21.0,1,3,13113.0,1,4500.0,4,8.63,0.34,651,0,1
12,23.0,0,2,114860.0,0,35000.0,3,7.9,0.3,573,0,1
13,26.0,0,0,130713.0,0,35000.0,1,18.39,0.27,708,0,1
14,23.0,1,3,138998.0,0,35000.0,1,7.9,0.25,583,0,0
15,23.0,1,0,600891.0,2,30000.0,5,10.65,0.05,670,1,0
16,23.0,0,2,144943.0,0,35000.0,1,7.9,0.24,663,0,0
17,23.0,1,1,111369.0,0,35000.0,2,20.0,0.31,694,0,1
18,23.0,0,2,136628.0,0,35000.0,5,18.25,0.26,709,0,1
19,24.0,1,0,14283.0,2,1750.0,1,10.99,0.12,679,0,1
20,25.0,0,2,195718.0,0,35000.0,3,7.49,0.18,684,1,0
21,25.0,0,1,165792.0,0,34800.0,0,16.77,0.21,662,0,0
22,22.0,1,0,79255.0,0,34000.0,1,17.58,0.43,691,0,1
23,24.0,1,2,13866.0,1,1500.0,0,7.29,0.11,600,1,0
24,22.0,0,2,97420.0,0,33950.0,0,14.54,0.35,691,0,1
25,24.0,1,1,82443.0,0,33000.0,4,12.68,0.4,654,0,1
26,21.0,1,3,14288.0,2,4575.0,3,17.74,0.32,626,0,1
27,23.0,0,1,14293.0,1,1400.0,0,9.32,0.1,607,0,0
28,24.0,1,2,79054.0,0,32500.0,4,9.99,0.41,700,0,1
29,21.0,1,2,14988.0,3,4000.0,1,12.84,0.27,553,0,1
30,21.0,0,1,14858.0,1,2000.0,2,11.12,0.13,589,0,1
31,25.0,0,2,144855.0,0,32000.0,3,6.62,0.22,586,1,0
32,26.0,0,2,114645.0,0,31050.0,4,14.17,0.27,681,0,1
33,25.0,1,1,368115.0,0,24250.0,5,13.85,0.07,567,1,0
34,26.0,1,3,361076.0,2,7800.0,2,13.49,0.02,669,0,0
35,21.0,0,3,15150.0,1,2500.0,1,7.51,0.17,600,0,1
36,22.0,1,2,58868.0,0,30000.0,1,18.39,0.51,606,0,1
37,24.0,0,1,78026.0,0,30000.0,5,14.54,0.38,582,0,1
38,25.0,0,2,90785.0,0,30000.0,4,16.89,0.33,649,0,1
39,23.0,1,1,86811.0,0,30000.0,5,11.01,0.35,602,0,1
40,26.0,0,2,75503.0,0,30000.0,2,17.99,0.4,616,0,1
41,24.0,1,1,15082.0,1,2500.0,3,12.69,0.17,631,0,1
42,26.0,0,2,361293.0,2,20000.0,3,7.88,0.06,684,1,0
43,23.0,0,1,361547.0,1,24250.0,1,19.41,0.07,637,1,0
44,26.0,0,0,360680.0,1,10000.0,4,10.38,0.03,649,0,0
45,26.0,0,2,360977.0,2,25000.0,1,15.33,0.07,695,1,0
46,25.0,1,2,361244.0,2,18000.0,4,16.45,0.05,620,0,0
47,26.0,0,2,98230.0,0,30000.0,0,7.49,0.31,622,0,1
48,22.0,1,1,80838.0,0,30000.0,2,12.69,0.37,645,0,1
49,26.0,0,0,107957.0,0,30000.0,5,6.62,0.28,654,0,1
50,24.0,1,2,94649.0,0,30000.0,5,11.01,0.32,624,0,1
51,23.0,0,1,94550.0,0,30000.0,5,18.62,0.32,570,0,1
52,23.0,0,2,111153.0,0,30000.0,0,15.23,0.27,648,0,1
53,23.0,1,3,117250.0,0,30000.0,3,10.65,0.26,652,0,1
54,25.0,0,2,144985.0,0,30000.0,1,7.9,0.21,559,0,0
55,26.0,0,1,337133.0,0,10000.0,0,15.96,0.03,623,1,0
56,26.0,0,3,333566.0,0,20000.0,3,11.48,0.06,602,1,0
57,23.0,0,2,333399.0,1,35000.0,0,11.01,0.1,609,0,0
58,25.0,0,0,154793.0,0,30000.0,0,7.29,0.19,573,1,0
59,24.0,0,3,15229.0,1,1750.0,3,11.01,0.11,631,1,0
60,21.0,1,2,158338.0,0,30000.0,3,5.99,0.19,623,1,0
61,22.0,1,2,331034.0,1,12000.0,3,11.58,0.04,602,1,0
62,26.0,1,1,316466.0,2,10000.0,1,11.01,0.03,579,0,1
63,25.0,1,3,267671.0,2,25000.0,2,15.7,0.09,582,0,1
64,22.0,0,0,85191.0,0,29100.0,1,15.99,0.34,700,0,1
65,22.0,0,3,15013.0,2,1500.0,1,14.84,0.1,688,0,0
66,26.0,0,2,313100.0,1,28000.0,4,10.99,0.09,607,1,0
67,25.0,1,2,311952.0,2,20000.0,4,14.42,0.06,661,1,0
68,24.0,0,1,306897.0,2,9600.0,1,6.99,0.03,562,1,0
69,25.0,1,2,301136.0,0,25000.0,2,13.49,0.08,664,1,0
70,25.0,0,1,15162.0,1,3000.0,2,11.01,0.2,564,0,1
71,22.0,0,3,69042.0,0,28000.0,2,11.01,0.41,598,0,1
72,21.0,1,1,15307.0,1,3000.0,1,13.61,0.2,557,0,1
73,23.0,1,3,79183.0,0,28000.0,1,7.9,0.35,677,0,1
74,26.0,0,2,102654.0,0,28000.0,3,7.49,0.27,690,0,1
75,26.0,0,3,15229.0,1,6100.0,1,7.51,0.4,599,0,1
76,22.0,0,1,106566.0,0,28000.0,3,9.91,0.26,604,0,1
77,21.0,1,2,15252.0,1,4200.0,0,13.48,0.28,663,0,1
78,22.0,0,2,15432.0,1,4750.0,5,7.14,0.31,601,0,1
79,24.0,0,1,100332.0,0,28000.0,3,15.99,0.28,634,0,1
80,24.0,0,2,300951.0,0,18000.0,1,12.98,0.06,671,0,0
82,25.0,1,2,121062.0,0,28000.0,5,12.69,0.23,622,0,0
83,26.0,0,3,133372.0,0,28000.0,1,8.9,0.21,538,1,0
84,26.0,0,2,15505.0,1,2700.0,5,11.01,0.17,587,0,1
85,22.0,0,0,130852.0,0,28000.0,1,11.01,0.21,683,0,1
86,23.0,0,3,182316.0,0,28000.0,5,11.11,0.15,634,1,0
87,24.0,1,2,83853.0,0,27600.0,4,11.01,0.33,690,0,1
88,21.0,1,2,15394.0,2,3250.0,5,15.68,0.21,518,0,1
89,22.0,1,2,85243.0,0,27500.0,1,13.06,0.32,583,0,1
90,22.0,0,3,288907.0,1,25000.0,0,11.01,0.09,617,1,0
91,26.0,0,3,89074.0,0,27050.0,3,15.62,0.3,668,0,1
92,24.0,0,0,100509.0,0,27000.0,0,13.49,0.27,673,0,1
93,24.0,0,1,88950.0,0,27000.0,3,11.01,0.3,706,0,1
94,23.0,1,1,75894.0,0,26000.0,2,11.71,0.34,536,0,1
95,23.0,0,3,145092.0,0,25600.0,1,12.69,0.18,557,1,0
96,24.0,1,2,15928.0,1,1600.0,2,13.57,0.1,689,1,0
97,22.0,0,2,73131.0,0,25475.0,3,10.99,0.35,681,0,1
98,25.0,0,0,281501.0,2,20000.0,2,14.27,0.07,623,1,0
99,24.0,1,3,281775.0,1,20000.0,4,8.88,0.07,595,1,0
100,26.0,0,2,281792.0,2,21600.0,4,12.18,0.08,584,1,0
101,25.0,0,2,266090.0,2,11900.0,5,14.42,0.04,669,0,1
102,26.0,0,1,279664.0,2,25000.0,2,14.17,0.09,642,1,0
103,25.0,1,1,277017.0,2,35000.0,2,13.99,0.13,622,1,0
104,23.0,0,3,100756.0,0,25300.0,1,10.99,0.25,689,0,1
105,22.0,0,1,16218.0,2,2000.0,0,5.42,0.12,614,0,1
106,25.0,1,2,16211.0,1,1750.0,0,13.61,0.11,597,1,0
107,21.0,1,2,51922.0,0,25000.0,1,12.73,0.48,673,0,1
108,24.0,0,3,50309.0,0,25000.0,4,11.01,0.5,625,0,1
109,25.0,0,1,16378.0,1,3000.0,5,12.87,0.18,603,0,1
110,24.0,0,2,16572.0,2,3650.0,4,9.91,0.22,589,0,1
111,26.0,0,0,272201.0,2,20000.0,4,11.49,0.07,670,1,0
112,25.0,1,2,271324.0,2,30000.0,4,19.91,0.11,637,1,0
113,26.0,0,3,256862.0,2,35000.0,1,10.65,0.14,643,0,1
114,24.0,0,1,271342.0,0,6000.0,2,11.01,0.02,508,1,0
115,24.0,0,1,16470.0,2,4500.0,5,11.83,0.27,643,0,1
116,23.0,0,1,16599.0,1,2400.0,5,13.49,0.14,505,0,1
117,22.0,0,2,51608.0,0,25000.0,2,14.59,0.48,593,0,1
118,26.0,1,0,58516.0,0,25000.0,1,9.64,0.43,686,0,1
119,25.0,1,3,16395.0,1,3600.0,2,14.59,0.22,646,0,1
120,22.0,1,2,16890.0,1,4750.0,1,11.01,0.28,645,0,1
121,25.0,1,3,51747.0,0,25000.0,1,16.35,0.48,697,0,1
122,21.0,0,1,59864.0,0,25000.0,1,10.99,0.42,648,0,1
123,25.0,0,0,270972.0,2,25000.0,3,18.67,0.09,640,1,0
124,26.0,0,2,270870.0,0,3000.0,1,9.32,0.01,681,0,0
125,23.0,1,3,270729.0,0,7500.0,5,8.63,0.03,646,0,0
126,26.0,0,2,270877.0,2,25000.0,3,10.08,0.09,615,1,0
127,22.0,0,3,60501.0,0,25000.0,0,11.83,0.41,687,0,1
128,23.0,0,1,60754.0,0,25000.0,5,7.9,0.41,650,0,1
129,25.0,0,2,60829.0,0,25000.0,4,5.99,0.41,588,0,1
130,24.0,0,2,53825.0,0,25000.0,5,15.33,0.46,652,0,1
131,23.0,0,1,60801.0,0,25000.0,3,11.83,0.41,658,0,1
132,22.0,0,1,60747.0,0,25000.0,3,10.36,0.41,634,0,1
133,22.0,1,1,61029.0,0,25000.0,3,12.23,0.41,623,0,1
134,22.0,1,3,63236.0,0,25000.0,1,11.11,0.4,635,0,1
135,23.0,1,2,17149.0,1,4950.0,5,7.9,0.29,531,0,1
136,24.0,1,0,265066.0,2,25000.0,1,11.58,0.09,665,1,0
137,23.0,0,3,260205.0,2,21000.0,5,8.9,0.08,703,0,0
138,25.0,1,3,260035.0,2,25000.0,1,16.07,0.1,585,1,0
139,26.0,1,2,260444.0,2,20000.0,1,14.22,0.08,594,0,0
140,23.0,0,2,258980.0,2,35000.0,2,14.79,0.14,618,1,0
141,26.0,0,1,259081.0,2,12000.0,1,7.88,0.05,626,1,0
142,23.0,0,1,63497.0,0,25000.0,0,13.22,0.39,695,0,1
143,26.0,1,4,56325.0,0,25000.0,5,11.86,0.44,690,0,1
144,22.0,0,2,64842.0,0,25000.0,1,13.43,0.39,574,0,1
145,26.0,1,1,57856.0,0,25000.0,4,15.28,0.43,602,0,1
146,23.0,0,3,57318.0,0,25000.0,3,17.93,0.44,679,0,1
147,23.0,1,1,16916.0,2,1400.0,1,9.25,0.08,615,0,0
148,21.0,0,0,16664.0,1,4500.0,3,12.98,0.27,601,0,1
149,22.0,0,3,252803.0,2,16000.0,3,10.62,0.06,577,1,0
150,26.0,1,3,253061.0,1,22000.0,0,11.83,0.09,588,1,0
151,26.0,0,2,58602.0,0,25000.0,3,18.43,0.43,595,0,1
152,22.0,0,1,67012.0,0,25000.0,1,11.01,0.37,653,0,1
153,24.0,1,0,66643.0,0,25000.0,4,11.01,0.38,663,0,1
154,23.0,0,2,66599.0,0,25000.0,1,11.36,0.38,653,0,1
155,23.0,0,3,67212.0,0,25000.0,1,15.65,0.37,598,0,1
156,24.0,1,1,66918.0,0,25000.0,0,13.22,0.37,630,0,1
157,26.0,0,3,68066.0,0,25000.0,5,12.87,0.37,637,0,1
158,24.0,0,3,245545.0,1,20000.0,2,13.04,0.08,660,1,0
159,23.0,0,3,229083.0,2,22000.0,1,17.58,0.1,639,0,1
160,23.0,0,1,17859.0,1,7750.0,0,17.04,0.43,626,0,1
161,24.0,1,3,72608.0,0,25000.0,0,10.99,0.34,612,0,1
162,24.0,0,2,73073.0,0,25000.0,0,11.11,0.34,628,0,1
163,26.0,1,0,65880.0,0,25000.0,5,14.83,0.38,592,0,1
164,23.0,0,1,17755.0,1,4000.0,5,11.01,0.23,580,0,1
165,24.0,0,2,241180.0,0,12000.0,2,12.69,0.05,634,0,0
