person_age,person_gender,person_education,person_income,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
22.0,1,0,40106.0,0,4000.0,3,11.01,0.1,722,0,1
30.0,1,3,72835.0,2,8000.0,3,7.51,0.11,631,0,0
23.0,0,1,19062.0,1,4000.0,5,13.98,0.21,667,0,1
30.0,0,2,46101.0,0,12000.0,1,12.14,0.26,711,0,1
26.0,0,2,152348.0,2,11000.0,0,7.14,0.07,618,1,0
34.0,1,2,90615.0,2,3000.0,3,7.9,0.03,657,0,0
25.0,0,2,123431.0,1,8000.0,2,12.42,0.06,627,1,0
25.0,0,2,62231.0,0,9000.0,1,7.24,0.14,540,1,0
25.0,1,3,41747.0,0,6000.0,5,12.55,0.14,635,1,0
26.0,1,3,108842.0,0,10000.0,5,9.03,0.09,653,0,0
29.0,1,3,82856.0,2,2000.0,3,7.43,0.02,627,1,0
33.0,1,1,54217.0,2,2000.0,2,14.22,0.04,652,0,1
31.0,0,1,70760.0,0,1583.0,5,10.05,0.02,651,1,0
22.0,1,0,47648.0,0,10000.0,0,14.22,0.21,613,0,1
25.0,1,1,67112.0,2,10000.0,1,8.94,0.15,618,1,0
32.0,1,3,30848.0,0,10000.0,2,8.49,0.32,648,0,1
23.0,0,2,82742.0,2,10000.0,0,10.04,0.12,648,1,0
25.0,1,1,57431.0,0,9000.0,5,7.51,0.16,501,1,0
24.0,1,1,68055.0,2,7875.0,0,10.65,0.12,565,1,0
29.0,0,0,34829.0,0,8679.0,1,15.09,0.25,668,0,1
22.0,1,2,22351.0,0,4000.0,1,10.91,0.18,644,0,1
26.0,0,0,56370.0,2,11000.0,4,12.69,0.2,518,1,0
32.0,1,4,79017.0,0,12400.0,5,13.49,0.16,695,1,0
27.0,0,2,48896.0,1,15000.0,4,9.1,0.31,536,1,0
32.0,1,2,43396.0,0,2049.0,2,7.2,0.05,620,0,0
25.0,0,1,44708.0,0,7000.0,1,12.38,0.16,651,1,0
22.0,0,3,73097.0,0,14000.0,1,12.73,0.19,693,0,0
22.0,1,0,48914.0,0,10000.0,1,10.37,0.2,636,1,0
26.0,1,2,60728.0,2,8000.0,3,10.59,0.13,696,0,0
28.0,1,3,45508.0,0,3000.0,5,11.12,0.07,599,0,0
30.0,1,0,76451.0,0,25000.0,2,10.91,0.33,687,0,1
22.0,1,1,109820.0,2,20000.0,4,10.46,0.18,615,1,0
21.0,0,2,37370.0,0,8400.0,1,6.03,0.22,651,0,0
25.0,1,1,39534.0,2,12500.0,3,8.43,0.32,668,0,0
34.0,1,3,43027.0,0,10600.0,2,15.96,0.25,591,1,0
24.0,1,1,77729.0,2,5000.0,5,15.62,0.06,548,0,1
22.0,0,1,45458.0,0,2500.0,4,17.49,0.05,689,0,1
23.0,0,3,92318.0,2,3000.0,1,11.03,0.03,530,1,0
28.0,1,0,55059.0,0,9000.0,5,14.65,0.16,627,1,0
34.0,1,1,66165.0,0,3000.0,2,15.37,0.05,647,0,1
22.0,0,2,51608.0,0,25000.0,2,14.59,0.48,593,0,1
37.0,1,3,47049.0,2,2400.0,5,6.99,0.05,637,0,0
27.0,0,1,76627.0,2,8068.0,1,7.47,0.11,625,1,0
35.0,1,2,92012.0,2,22000.0,4,9.88,0.24,535,1,0
30.0,1,1,38481.0,0,2400.0,2,16.49,0.06,604,1,0
30.0,0,2,51400.0,0,11000.0,0,10.44,0.21,514,1,0
27.0,0,3,96894.0,0,20000.0,0,7.49,0.21,630,1,0
29.0,1,3,105839.0,0,11200.0,1,11.01,0.11,665,0,0
26.0,1,2,132310.0,2,20000.0,3,17.02,0.15,587,1,0
23.0,0,1,19676.0,0,2500.0,1,10.65,0.13,642,0,1
42.0,0,4,51459.0,0,4200.0,0,13.35,0.08,616,1,0
26.0,1,0,103043.0,2,12000.0,0,6.62,0.12,679,1,0
33.0,1,3,21199.0,0,3459.0,4,8.36,0.16,668,0,1
22.0,0,0,51718.0,0,3600.0,0,9.9,0.07,675,1,0
26.0,0,2,56025.0,0,13000.0,1,13.69,0.23,687,0,0
24.0,1,0,118513.0,2,16000.0,5,14.79,0.14,633,0,1
23.0,0,2,59068.0,0,4800.0,5,10.36,0.08,668,0,0
24.0,1,2,35413.0,0,2400.0,4,14.26,0.07,666,0,1
28.0,0,2,47828.0,0,10153.0,5,15.13,0.21,619,0,1
27.0,0,1,142952.0,0,13425.0,0,15.99,0.09,549,0,1
25.0,0,3,53716.0,0,8000.0,1,12.92,0.15,704,0,1
41.0,1,2,29903.0,0,4000.0,2,16.07,0.13,653,0,1
45.0,0,1,133106.0,2,20000.0,0,11.11,0.15,670,0,0
27.0,1,2,32618.0,2,6000.0,2,6.91,0.18,523,0,1
26.0,1,0,44921.0,0,4975.0,5,7.26,0.11,561,1,0
25.0,1,3,58656.0,0,12000.0,1,13.85,0.2,586,1,0
27.0,0,2,53690.0,0,15000.0,2,11.01,0.28,526,0,1
